"","anon_id","count_will_construction","count_goingTo_construction","gender","birth_year","native_language","language_used_at_home","non_native_language_1","yrs_of_study_lang1","study_in_classroom_lang1","ways_of_study_lang1","non_native_language_2","yrs_of_study_lang2","study_in_classroom_lang2","ways_of_study_lang2","non_native_language_3","yrs_of_study_lang3","study_in_classroom_lang3","ways_of_study_lang3","course_history","yrs_of_english_learning","yrs_in_english_environment","age","semester","LCT_Form","LCT_Score","MTELP_Form","MTELP_I","MTELP_II","MTELP_III","MTELP_Conv_Score","Writing_Sample"
"31","af2",25,4,"Male",1970,"Portuguese","Portuguese;Makwa","Italian","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Italian;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","Spanish","less than 1 year","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in Spanish;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","609;610;617;618;621","less than 1 year","none",39,"2010_spring",NA,12,"",25,22,0,66,4.7
"32","af4",1,0,"Female",1977,"Chinese","Chinese","English","more than 5 years","yes","Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","571;572;573;585;599;646;647","more than 5 years","1-2 years",32,"2009_fall",NA,23,"",30,31,12,84,3.8
"33","af7",5,0,"Male",NA,"Japanese","","","","","","","","","","","","","","","","",NA,"2006_spring",1,18,"P",11,18,10,58,2
"34","ag0",3,0,"Female",1983,"Spanish","Spanish","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays","French","3-5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","441;442;499","more than 5 years","none",25,"2008_fall",2,26,"Q",31,31,15,85,4.2
"35","ag2",0,0,"Female",NA,"Turkish","","","","","","","","","","","","","","","","",NA,"2011_fall",1,22,"",19,27,11,72,4
"36","ag3",2,0,"Female",NA,"Korean","","","","","","","","","","","","","","","","",NA,"2008_fall",2,12,"P",15,13,18,65,2.6
"37","ag4",8,0,"Female",1985,"Chinese","Chinese;English","English","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher corrected my mistakes","Japanese","less than 1 year","no","Studied by myself;I learned from my friend who is a native speaker;I lived in a country where they spoke Japanese","","","no","","394;395;396;397;398","more than 5 years","1-2 years",22,"2008_summer",2,24,"P",25,19,12,72,4.5
"38","ag5",7,1,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA,"2011_summer",NA,21,"",16,13,6,53,3
"39","ag6",14,1,"Female",1980,"Chinese","Chinese;Taiwanese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Wrote paragrphs/essays;other","Japanese","1-2 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Japanese","","","no","","367;369;370;371;373;425;426;427;428;429","more than 5 years","less than 1 year",28,"2008_summer",2,13,"P",19,8,4,47,3
"40","ag7",13,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA,"2010_fall",2,17,"",13,13,7,48,3.2
"41","ag8",0,3,"Female",1975,"Japanese","Japanese","","","","","","","","","","","","","422;423;424","3-5 years","less than 1 year",33,"2008_fall",2,21,"Q",25,15,8,67,2.6
"42","ag9",35,12,"Female",1980,"Korean","Korean","Japanese","3-5 years","no","I lived in a country where they spoke Japanese","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud","","","no","","465;466;469;482;483;523;524;527;543;544;581;584","more than 5 years","none",28,"2009_spring",1,21,"Q",15,16,3,51,2
"43","ah0",6,0,"Male",1972,"Japanese","Japanese;English","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","German","1-2 years","yes","Studied grammar;Teacher corrected my mistakes","","","no","","374;375;376;377;378;440;441;444;453;454","more than 5 years","1-2 years",36,"2008_summer",2,23,"P",23,10,6,58,2.5
"44","ah1",26,11,"Male",1983,"Thai","Thai","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Practiced reading aloud","","","no","","","","no","","103;115;127;151;164;175;186;208","more than 5 years","none",22,"2006_fall",1,21,"P",11,15,9,53,4
"45","ah4",5,1,"Male",1985,"Turkish","Turkish;English","English","3-5 years","yes","Studied grammar;Studied vocabulary;Teacher spoke to me in English","","","no","","","","no","","560;571;572;573;574;622;642;643;644;645","3-5 years","none",24,"2009_fall",NA,19,"",20,5,5,46,2.7
"46","ah6",7,5,"Female",NA,"Korean","","","","","","","","","","","","","","","","",NA,"2007_summer",1,11,"Q",13,10,8,47,2.7
"47","ah8",17,0,"Male",1979,"Other","Russian;Uzbek","","","","","","","","","","","","","389;390;391;392;393","more than 5 years","more than 5 years",28,"2008_summer",2,25,"P",35,24,17,85,3.3
"48","ah9",20,6,"Female",1982,"Korean","Korean","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Wrote paragrphs/essays","","","no","","","","no","","364;365;366;367;368;425;426;427;428;429","less than 1 year","none",26,"2008_summer",2,17,"P",12,11,4,43,2.2
"49","ai0",10,2,"Male",1983,"Korean","Korean;Arabic","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs)","Japanese","less than 1 year","yes","Studied grammar;Studied vocabulary","","","no","","213;224;235;246;257","more than 5 years","none",24,"2007_summer",1,14,"Q",14,10,8,48,2.8
"50","ai1",101,3,"Female",1976,"Arabic","Arabic;English","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes","","","no","","","","no","","415;419;426;427;428;480;494;501;506;507;585;586;589","less than 1 year","less than 1 year",31,"2008_fall",2,20,"Q",15,10,5,46,3
"51","ai3",24,10,"Unknown",NA,"Chinese","","","","","","","","","","","","","","","","",NA,"2008_spring",1,7,"Q",13,20,11,63,1.5
"52","ai4",0,0,"Female",1982,"Chinese","Chinese;Taiwanese","English","3-5 years","no","other","","","no","","","","no","","369;370;371;372;373;435;436;437;438;439","more than 5 years","less than 1 year",25,"2008_summer",2,14,"P",9,12,5,42,2.8
"53","ai7",0,0,"Male",1990,"Arabic","English","","","","","","","","","","","","","622;623;630;631;643","1-2 years","1-2 years",19,"2010_spring",2,15,"P",16,13,8,56,3
"54","aj0",0,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA,"2012_summer",1,24,"R",20,15,11,65,2.5
"55","aj1",1,0,"Female",1985,"Taiwanese","Taiwanese;Chinese","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","733;735;736;737;755","more than 5 years","less than 1 year",25,"2010_fall",2,25,"",19,23,11,70,4
"56","aj3",3,0,"Unknown",NA,"Arabic","","","","","","","","","","","","","","","","",NA,"2007_spring",1,10,"R",11,11,5,43,2.7
"57","aj5",25,1,"Male",1977,"Arabic","Arabic","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","410;421;450;451;452;480;482;483;484;501;540;541;542","less than 1 year","1-2 years",32,"2008_fall",2,12,"Q",10,19,6,53,3
"58","aj6",0,0,"Male",1983,"Arabic","Arabic;English","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class;Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","270;281;293;314","less than 1 year","1-2 years",24,"2007_fall",NA,15,"Q",4,8,9,37,2.3
"59","aj7",11,1,"Male",1976,"Spanish","Spanish","English","less than 1 year","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs)","","","no","","","","no","","415;416;450;451;452","less than 1 year","less than 1 year",32,"2008_fall",2,10,"P",6,12,10,34,2.6
"60","aj9",38,2,"Male",1982,"Italian","Italian","English","1-2 years","no","Studied by myself","","","no","","","","no","","340;341;348;349;352;391;392","1-2 years","none",25,"2008_spring",1,24,"Q",19,30,18,81,4
"61","ak0",29,3,"Female",1984,"Arabic","Arabic;French","English","less than 1 year","no","I lived in a country where they spoke English","French","more than 5 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in French;Studied pronunciation;Wrote paragrphs/essays","","","no","","101;113;125;149;165;176;187;209","less than 1 year","less than 1 year",22,"2006_fall",1,17,"P",16,14,11,60,4
"62","ak1",6,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA,"2011_fall",1,3,"",6,9,8,39,2.5
"63","ak5",20,0,"Female",1979,"Chinese","Chinese","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","269;280;291;313","more than 5 years","less than 1 year",28,"2007_fall",1,11,"Q",9,15,5,45,3.5
"64","ak7",1,0,"Male",NA,"Chinese","","","","","","","","","","","","","","","","",NA,"2010_summer",1,18,"Q",25,17,0,61,3.3
"65","al0",27,0,"Male",1983,"Arabic","Arabic","English","1-2 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","","","no","","510;521;528;529;532;580;581;582;583;584","1-2 years","less than 1 year",26,"2009_summer",2,14,"P",17,13,3,48,3.5
"66","al1",38,0,"Unknown",NA,"Arabic","","","","","","","","","","","","","","","","",NA,"2012_spring",NA,20,"Q",5,23,15,62,3.2
"67","al2",2,0,"Female",1985,"Japanese","Japanese","English","3-5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","French","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials;Studied pronunciation","German","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials;Practiced reading aloud;Teacher corrected my mistakes","420;421;424;450;451;487;488;495;496;499","3-5 years","less than 1 year",23,"2008_fall",2,18,"Q",18,20,9,66,3.8
"68","al5",38,3,"Male",1983,"Korean","Korean","English","more than 5 years","no","Studied by myself","Japanese","1-2 years","no","Studied by myself","","","no","","489;490;491;492;493;533;534;537;543;544","more than 5 years","less than 1 year",25,"2009_spring",1,21,"Q",19,18,6,62,2.6
"69","al9",11,7,"Male",1987,"Arabic","Arabic","English","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","31;32;33;34;35;45;56;67;78;89;105;117;129;153;165;209","more than 5 years","none",19,"2006_spring",1,17,"P",12,11,3,42,2.5
"70","am0",11,0,"Female",NA,"Hindi","","","","","","","","","","","","","","","","",NA,"2011_summer",NA,25,"",25,25,17,81,4.4
"71","am1",45,3,"Female",1975,"Arabic","Arabic;German","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","German","less than 1 year","no","Studied by myself","","","no","","99;111;147;160;182;204;226;241;252;263","more than 5 years","less than 1 year",31,"2006_fall",1,18,"P",10,15,8,48,3
"72","am2",2,0,"Female",NA,"Russian,Ukrainian","","","","","","","","","","","","","","","","",NA,"2011_fall",1,24,"",19,18,8,64,2.95
"73","am5",3,0,"Male",NA,"Chinese","","","","","","","","","","","","","","","","",NA,"2011_spring",2,20,"P",22,6,5,48,3.25
"74","am6",5,0,"Female",1980,"Portuguese","Portuguese","English","less than 1 year","yes","Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Practiced reading aloud","","","no","","","","no","","475;476;477;478;479;522;533;534;535;536","less than 1 year","less than 1 year",28,"2009_spring",1,18,"Q",9,20,7,55,3.3
"75","am7",34,1,"Male",1983,"Arabic","Arabic","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);other","","","no","","","","no","","609;610;611;649;650;679;680;681;687;688;730;731;732;749;751;791;802;803;805;812;878","more than 5 years","more than 5 years",27,"2010_spring",NA,15,"",12,8,5,41,2.7
"76","am8",10,0,"Female",1982,"Thai","Thai","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Practiced reading aloud","Chinese","less than 1 year","yes","Worked in pairs/groups;Studied vocabulary;Teacher spoke to me in Chinese;Studied pronunciation","","","no","","19;31;32;33;35;47;58;65;91;106;118;149;182;208","less than 1 year","none",23,"2006_spring",1,11,"P",15,9,5,45,2.3
"77","am9",6,0,"Female",1972,"Japanese","Japanese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class","","","no","","","","no","","558;567;601;616;630;649;650;673;676;698;732;752","more than 5 years","less than 1 year",37,"2009_fall",NA,15,"",21,10,7,57,3.5
"78","an1",22,33,"Female",1982,"Turkish","Turkish","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","German","1-2 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in German;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","510;511;528;529;532;577;578;585;586;589;701","more than 5 years","less than 1 year",27,"2009_summer",2,17,"P",22,11,4,56,3.5
"79","an2",17,3,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA,"2009_summer",2,10,"P",15,12,4,47,2.3
"80","an4",6,1,"Male",1979,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud","Japanese","3-5 years","no","other","German","1-2 years","no","other","157;168;179;190;204","more than 5 years","3-5 years",27,"2007_spring",1,18,"R",12,11,8,47,2.5
"81","an5",3,7,"Female",1989,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;other","Japanese","less than 1 year","yes","Studied vocabulary;Practiced speaking in class;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","560;561;569;572;573;599;617;618;646;647","more than 5 years","less than 1 year",21,"2009_fall",NA,19,"",14,10,12,55,3
"82","an7",4,0,"Unknown",NA,"Chinese","","","","","","","","","","","","","","","","",NA,"2010_summer",1,24,"Q",16,15,17,67,3.7
"83","an9",17,2,"Female",1984,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced reading aloud;Wrote paragrphs/essays","German","less than 1 year","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Studied pronunciation","JapaneseChinese","less than 1 year","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary","101;113;125;149","more than 5 years","none",22,"2006_fall",1,24,"Q",25,24,8,72,4.7
"84","ao0",10,0,"Female",1980,"Japanese","Japanese","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","Chinese","1-2 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Chinese;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","430;431;432;433;434","more than 5 years","less than 1 year",27,"2008_fall",2,21,"Q",18,12,9,58,3.3
"85","ao1",23,4,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA,"2012_spring",1,11,"Q",12,11,7,46,2.4
"86","ao2",22,1,"Male",1987,"Arabic","Arabic","English","3-5 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","687;696;705;706;707;759;760;761;762;763","more than 5 years","less than 1 year",23,"2010_summer",1,24,"Q",19,7,10,55,3
"87","ao3",0,0,"Male",NA,"Chinese","","","","","","","","","","","","","","","","",NA,"2011_fall",1,14,"",20,16,6,61,3.6
