"","anon_id","count_will_construction","count_goingTo_construction","gender","birth_year","native_language","language_used_at_home","non_native_language_1","yrs_of_study_lang1","study_in_classroom_lang1","ways_of_study_lang1","non_native_language_2","yrs_of_study_lang2","study_in_classroom_lang2","ways_of_study_lang2","non_native_language_3","yrs_of_study_lang3","study_in_classroom_lang3","ways_of_study_lang3","course_history","yrs_of_english_learning","yrs_in_english_environment","age"
"13","ac3",19,0,"Female",1983,"Chinese","Chinese","English","1-2 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","217;228;242;253;261","more than 5 years","less than 1 year",24
"14","ac4",0,0,"Female",1969,"Spanish","Spanish","English","1-2 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","619;620;621","1-2 years","3-5 years",40
"15","ac5",5,7,"Male",1986,"Korean","Korean","English","more than 5 years","no","I learned from my friend who is a native speaker;other","","","no","","","","no","","216;227;235;246;260;277;288;295;321;348;349;350;351;352","more than 5 years","less than 1 year",20
"16","ac6",1,0,"Female",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"17","ac7",20,1,"Male",1975,"Japanese","Japanese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Practiced reading aloud;Teacher corrected my mistakes","Cantonese","none","no","I learned from my friend who is a native speaker;I lived in a country where they spoke Cantonese","","","no","","423;430;431;432;434;500;501;502;503;504","more than 5 years","1-2 years",33
"18","ac8",18,6,"Male",1981,"Arabic","Arabic","English","1-2 years","no","I learned from my friend who is a native speaker","","","no","","","","no","","460;461;464;467;468;513;514;516;517;525;570;571;573;574;587","less than 1 year","none",28
"19","ac9",2,0,"Female",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"20","ad1",3,2,"Female",1988,"Korean","Korean","English","1-2 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Wrote paragrphs/essays","Japanese","less than 1 year","yes","Studied vocabulary;Practiced reading aloud","","","no","","46;57;68;79;90;103;115;129;153;175;208","1-2 years","none",18
"21","ad2",2,0,"Male",1985,"Italian","Italian","Spanish","less than 1 year","no","Studied by myself;I learned from my friend who is a native speaker","","","no","","","","no","","378;379;380;381;382","more than 5 years","less than 1 year",23
"22","ad3",0,0,"Female",NA,"Portuguese","","","","","","","","","","","","","","","","",NA
"23","ad4",9,0,"Female",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"24","ad5",3,1,"Male",1991,"Arabic","Arabic;English","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","743;744;745;746;747;806;807;808;809;810;842;888;889;890;893;894","1-2 years","less than 1 year",19
"25","ad7",15,0,"Unknown",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"26","ad8",27,9,"Female",1980,"Japanese","Japanese","English","more than 5 years","yes","Studied grammar;Studied vocabulary","","","no","","","","no","","332;345;346;364;365;381;382;383;425;426;447;448;449;500;502;503;504;505","more than 5 years","none",27
"27","ad9",8,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"28","ae0",6,2,"Unknown",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"29","ae2",13,0,"Female",1979,"Chinese","Chinese;English","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English","","","no","","","","no","","345;346;353;354;357;391;392","more than 5 years","less than 1 year",29
"30","ae3",41,7,"Female",1978,"Taiwanese","Taiwanese","Taiwanese","more than 5 years","no","I lived in a country where they spoke Taiwanese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Practiced reading aloud","","","no","","212;223;234;245;256;274;285;296;318","more than 5 years","less than 1 year",28
"31","ae4",10,2,"Male",1989,"Spanish","Spanish","English","3-5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes","","","no","","","","no","","216;227;235;246;260","3-5 years","less than 1 year",18
"32","ae5",0,0,"Female",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"33","ae9",35,0,"Male",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"34","af0",31,6,"Male",1978,"Thai","Thai","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","328;329;330;331;332;374;375;422;424;440;441;443;500;501;504","less than 1 year","less than 1 year",29
"35","af1",5,1,"Male",NA,"Korean","","","","","","","","","","","","","","","","",NA
"36","af2",25,4,"Male",1970,"Portuguese","Portuguese;Makwa","Italian","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Italian;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","Spanish","less than 1 year","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in Spanish;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","609;610;617;618;621","less than 1 year","none",39
"37","af3",91,9,"Female",1977,"Arabic","Arabic","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","415;416;450;451;452;490;491;492;493;494;533;534;537;543;544","less than 1 year","less than 1 year",31
"38","af4",1,0,"Female",1977,"Chinese","Chinese","English","more than 5 years","yes","Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","571;572;573;585;599;646;647","more than 5 years","1-2 years",32
"39","af7",5,0,"Male",NA,"Japanese","","","","","","","","","","","","","","","","",NA
"40","ag0",2,0,"Female",1983,"Spanish","Spanish","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays","French","3-5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","441;442;499","more than 5 years","none",25
"41","ag2",0,0,"Female",NA,"Turkish","","","","","","","","","","","","","","","","",NA
"42","ag3",2,0,"Female",NA,"Korean","","","","","","","","","","","","","","","","",NA
"43","ag4",8,0,"Female",1985,"Chinese","Chinese;English","English","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher corrected my mistakes","Japanese","less than 1 year","no","Studied by myself;I learned from my friend who is a native speaker;I lived in a country where they spoke Japanese","","","no","","394;395;396;397;398","more than 5 years","1-2 years",22
"44","ag5",6,1,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"45","ag6",11,1,"Female",1980,"Chinese","Chinese;Taiwanese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Wrote paragrphs/essays;other","Japanese","1-2 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Japanese","","","no","","367;369;370;371;373;425;426;427;428;429","more than 5 years","less than 1 year",28
"46","ag7",13,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"47","ag8",0,3,"Female",1975,"Japanese","Japanese","","","","","","","","","","","","","422;423;424","3-5 years","less than 1 year",33
"48","ag9",33,12,"Female",1980,"Korean","Korean","Japanese","3-5 years","no","I lived in a country where they spoke Japanese","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud","","","no","","465;466;469;482;483;523;524;527;543;544;581;584","more than 5 years","none",28
"49","ah0",6,0,"Male",1972,"Japanese","Japanese;English","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","German","1-2 years","yes","Studied grammar;Teacher corrected my mistakes","","","no","","374;375;376;377;378;440;441;444;453;454","more than 5 years","1-2 years",36
"50","ah1",26,11,"Male",1983,"Thai","Thai","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Practiced reading aloud","","","no","","","","no","","103;115;127;151;164;175;186;208","more than 5 years","none",22
"51","ah4",5,1,"Male",1985,"Turkish","Turkish;English","English","3-5 years","yes","Studied grammar;Studied vocabulary;Teacher spoke to me in English","","","no","","","","no","","560;571;572;573;574;622;642;643;644;645","3-5 years","none",24
"52","ah5",41,0,"Female",1976,"Portuguese","Portuguese","English","3-5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","600;637;638;639;640","3-5 years","3-5 years",33
"53","ah6",7,5,"Female",NA,"Korean","","","","","","","","","","","","","","","","",NA
"54","ah8",16,0,"Male",1979,"Other","Russian;Uzbek","","","","","","","","","","","","","389;390;391;392;393","more than 5 years","more than 5 years",28
"55","ah9",14,6,"Female",1982,"Korean","Korean","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Wrote paragrphs/essays","","","no","","","","no","","364;365;366;367;368;425;426;427;428;429","less than 1 year","none",26
"56","ai0",9,2,"Male",1983,"Korean","Korean;Arabic","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs)","Japanese","less than 1 year","yes","Studied grammar;Studied vocabulary","","","no","","213;224;235;246;257","more than 5 years","none",24
"57","ai1",72,3,"Female",1976,"Arabic","Arabic;English","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes","","","no","","","","no","","415;419;426;427;428;480;494;501;506;507;585;586;589","less than 1 year","less than 1 year",31
"58","ai3",24,10,"Unknown",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"59","ai4",0,0,"Female",1982,"Chinese","Chinese;Taiwanese","English","3-5 years","no","other","","","no","","","","no","","369;370;371;372;373;435;436;437;438;439","more than 5 years","less than 1 year",25
"60","ai7",0,0,"Male",1990,"Arabic","English","","","","","","","","","","","","","622;623;630;631;643","1-2 years","1-2 years",19
"61","aj0",0,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"62","aj1",1,0,"Female",1985,"Taiwanese","Taiwanese;Chinese","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","733;735;736;737;755","more than 5 years","less than 1 year",25
"63","aj3",3,0,"Unknown",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"64","aj5",19,1,"Male",1977,"Arabic","Arabic","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","410;421;450;451;452;480;482;483;484;501;540;541;542","less than 1 year","1-2 years",32
"65","aj6",0,0,"Male",1983,"Arabic","Arabic;English","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class;Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","270;281;293;314","less than 1 year","1-2 years",24
"66","aj7",3,1,"Male",1976,"Spanish","Spanish","English","less than 1 year","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs)","","","no","","","","no","","415;416;450;451;452","less than 1 year","less than 1 year",32
"67","aj8",1,1,"Male",1978,"Chinese","Chinese;Taiwanese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Practiced reading aloud;Wrote paragrphs/essays","","","no","","","","no","","6;10;16;24;28;93;118;130","more than 5 years","less than 1 year",27
"68","aj9",35,2,"Male",1982,"Italian","Italian","English","1-2 years","no","Studied by myself","","","no","","","","no","","340;341;348;349;352;391;392","1-2 years","none",25
"69","ak0",28,3,"Female",1984,"Arabic","Arabic;French","English","less than 1 year","no","I lived in a country where they spoke English","French","more than 5 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in French;Studied pronunciation;Wrote paragrphs/essays","","","no","","101;113;125;149;165;176;187;209","less than 1 year","less than 1 year",22
"70","ak1",6,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"71","ak5",20,0,"Female",1979,"Chinese","Chinese","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","269;280;291;313","more than 5 years","less than 1 year",28
"72","ak7",1,0,"Male",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"73","al0",25,0,"Male",1983,"Arabic","Arabic","English","1-2 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","","","no","","510;521;528;529;532;580;581;582;583;584","1-2 years","less than 1 year",26
"74","al1",38,0,"Unknown",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"75","al2",2,0,"Female",1985,"Japanese","Japanese","English","3-5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","French","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials;Studied pronunciation","German","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials;Practiced reading aloud;Teacher corrected my mistakes","420;421;424;450;451;487;488;495;496;499","3-5 years","less than 1 year",23
"76","al5",38,3,"Male",1983,"Korean","Korean","English","more than 5 years","no","Studied by myself","Japanese","1-2 years","no","Studied by myself","","","no","","489;490;491;492;493;533;534;537;543;544","more than 5 years","less than 1 year",25
"77","al9",11,7,"Male",1987,"Arabic","Arabic","English","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","31;32;33;34;35;45;56;67;78;89;105;117;129;153;165;209","more than 5 years","none",19
"78","am0",11,0,"Female",NA,"Hindi","","","","","","","","","","","","","","","","",NA
"79","am1",36,3,"Female",1975,"Arabic","Arabic;German","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","German","less than 1 year","no","Studied by myself","","","no","","99;111;147;160;182;204;226;241;252;263","more than 5 years","less than 1 year",31
"80","am2",2,0,"Female",NA,"Russian,Ukrainian","","","","","","","","","","","","","","","","",NA
"81","am3",2,0,"Unknown",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"82","am5",2,0,"Male",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"83","am6",5,0,"Female",1980,"Portuguese","Portuguese","English","less than 1 year","yes","Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Practiced reading aloud","","","no","","","","no","","475;476;477;478;479;522;533;534;535;536","less than 1 year","less than 1 year",28
"84","am7",32,1,"Male",1983,"Arabic","Arabic","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);other","","","no","","","","no","","609;610;611;649;650;679;680;681;687;688;730;731;732;749;751;791;802;803;805;812;878","more than 5 years","more than 5 years",27
"85","am8",10,0,"Female",1982,"Thai","Thai","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Practiced reading aloud","Chinese","less than 1 year","yes","Worked in pairs/groups;Studied vocabulary;Teacher spoke to me in Chinese;Studied pronunciation","","","no","","19;31;32;33;35;47;58;65;91;106;118;149;182;208","less than 1 year","none",23
"86","am9",5,0,"Female",1972,"Japanese","Japanese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class","","","no","","","","no","","558;567;601;616;630;649;650;673;676;698;732;752","more than 5 years","less than 1 year",37
"87","an1",18,33,"Female",1982,"Turkish","Turkish","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","German","1-2 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in German;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","510;511;528;529;532;577;578;585;586;589;701","more than 5 years","less than 1 year",27
"88","an2",17,3,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"89","an4",4,1,"Male",1979,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud","Japanese","3-5 years","no","other","German","1-2 years","no","other","157;168;179;190;204","more than 5 years","3-5 years",27
"90","an5",1,7,"Female",1989,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;other","Japanese","less than 1 year","yes","Studied vocabulary;Practiced speaking in class;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","560;561;569;572;573;599;617;618;646;647","more than 5 years","less than 1 year",21
"91","an7",4,0,"Unknown",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"92","an9",14,2,"Female",1984,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced reading aloud;Wrote paragrphs/essays","German","less than 1 year","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Studied pronunciation","JapaneseChinese","less than 1 year","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary","101;113;125;149","more than 5 years","none",22
"93","ao0",10,0,"Female",1980,"Japanese","Japanese","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","Chinese","1-2 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Chinese;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","430;431;432;433;434","more than 5 years","less than 1 year",27
"94","ao1",23,4,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"95","ao2",21,1,"Male",1987,"Arabic","Arabic","English","3-5 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","687;696;705;706;707;759;760;761;762;763","more than 5 years","less than 1 year",23
"96","ao3",0,0,"Male",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"97","ao4",32,3,"Male",1985,"Arabic","Arabic","English","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","719;723;734;735;736;798;799;800;818;819;883;884;885;886;887;946;952;953;954;955","more than 5 years","more than 5 years",25
"98","ao5",0,1,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"99","ao6",18,0,"Female",1988,"Korean","Korean","English","less than 1 year","yes","Studied grammar;Had a native-speaker teacher;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Wrote paragrphs/essays","","","no","","","","no","","485;486;492;493;494","less than 1 year","less than 1 year",20
"100","ao8",25,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"101","ap0",1,0,"Male",1978,"Japanese","Japanese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud","","","no","","","","no","","845;846;847;871;872","more than 5 years","none",33
"102","ap2",0,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"103","ap4",22,4,"Female",1977,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud","","","no","","","","no","","274;285;296;318;353;354;355;356;357","more than 5 years","none",30
"104","ap5",14,1,"Female",1990,"Chinese","Chinese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","415;426;427;428;452","more than 5 years","less than 1 year",18
"105","ap6",0,0,"Female",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"106","ap7",7,0,"Female",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"107","ap8",9,0,"Male",1986,"Chinese","Chinese;English","English","3-5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","Chinese","more than 5 years","no","I lived in a country where they spoke Chinese;other","","","no","","607;608;609;610;611;687;688;705;706;707;850;851;852;853;854;912;913;915;924;926;996;1015","3-5 years","none",24
"108","aq0",3,0,"Female",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"109","aq1",38,3,"Female",1969,"Chinese","Chinese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","German","less than 1 year","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in German;Teacher corrected my mistakes","","","no","","1;13;19;42;53;64;74;86;102;111;126;150;162;173;184;208;230;241;252;263;389;393;772;776;820","more than 5 years","less than 1 year",37
"110","aq2",9,2,"Male",1972,"Arabic","Arabic","","","","","","","","","","","","","364;366;367;368;385","1-2 years","more than 5 years",35
"111","aq4",3,1,"Female",NA,"Arabic","","","","","","","","","","","","","","","","",NA
